iter	Passed	Remaining
636	1202	685
637	1205	683
638	1206	681
639	1207	679
640	1209	677
641	1210	675
642	1212	673
643	1213	671
644	1215	668
645	1216	666
646	1219	665
647	1221	663
648	1222	661
649	1224	659
650	1225	656
651	1227	655
652	1228	653
653	1230	650
654	1232	649
655	1234	647
656	1237	646
657	1239	644
658	1241	642
659	1243	640
660	1245	638
661	1248	637
662	1251	635
663	1252	633
664	1254	631
665	1256	629
666	1257	627
667	1259	625
668	1261	623
669	1266	623
670	1268	621
671	1270	619
672	1271	617
673	1273	615
674	1274	613
675	1276	611
676	1305	622
677	1308	621
678	1310	619
679	1313	618
680	1315	616
681	1317	614
682	1320	612
683	1322	611
684	1324	609
685	1327	607
686	1329	605
687	1331	603
688	1332	601
689	1334	599
690	1336	597
691	1337	595
692	1346	596
693	1348	594
694	1349	592
695	1350	590
696	1352	588
697	1354	585
698	1355	583
699	1357	581
700	1360	580
701	1361	578
702	1363	575
703	1365	573
704	1366	571
705	1368	569
706	1369	567
707	1370	565
708	1372	563
709	1375	561
710	1377	559
711	1378	557
712	1380	555
713	1381	553
714	1383	551
715	1385	549
716	1386	547
717	1388	545
718	1391	543
719	1393	541
720	1394	539
721	1396	537
722	1398	535
723	1399	533
724	1401	531
725	1403	529
726	1406	528
727	1408	526
728	1410	524
729	1411	522
730	1413	520
731	1414	517
732	1416	515
733	1417	513
734	1419	511
735	1421	509
736	1424	508
737	1425	506
738	1427	504
739	1428	502
740	1430	500
741	1432	497
742	1433	495
743	1435	493
744	1437	491
745	1439	490
746	1441	488
747	1442	486
748	1444	483
749	1445	481
750	1447	479
751	1448	477
752	1450	475
753	1452	473
754	1454	471
755	1456	469
756	1457	467
757	1458	465
758	1460	463
759	1461	461
760	1463	459
761	1464	457
762	1466	455
763	1468	453
764	1470	451
765	1472	449
766	1473	447
767	1475	445
768	1476	443
769	1478	441
770	1479	439
771	1481	437
772	1482	435
773	1485	433
774	1487	431
775	1488	429
776	1490	427
777	1491	425
778	1493	423
779	1494	421
780	1495	419
781	1497	417
782	1498	415
783	1501	413
784	1503	411
785	1505	409
786	1506	407
787	1508	405
788	1509	403
789	1511	401
790	1512	399
791	1514	397
792	1516	395
793	1519	394
794	1520	392
795	1522	390
796	1523	388
